"","educ","degree","rincome","wealth","poleff11","poleff18","poleff19","poleff20","polinter","news","newsfrom","polnews","partyid","grpparty","mobile16","marital","racecen1","race","region","sex","age","vote12bin"
"15",16,"high school",NA,NA,NA,"agree","neither agree nor disagree","agree","have not done it and would never do  it","never","tv","less than 1 day a week","independent","never belonged","same city","never married","white","white","new england","female",25,0
"16",16,"high school",NA,NA,NA,NA,"agree",NA,"have done it in the more distant past",NA,"newspapers","several times a day","strong republican","belong and actively participate","same city","married","white","white","new england","male",56,1
"17",13,"high school","$5000 to 5999","less than $5,000","neither agree nor disagree","disagree","strongly agree",NA,"",NA,"newspapers","once a day","not str democrat",NA,"different state","divorced","asian indian","other","new england","female",51,1
"18",13,"high school","$3000 to 3999",NA,"neither agree nor disagree","agree",NA,"disagree","have not done it but might do it",NA,"government agencies",NA,"independent","used to belong","same st,dif city","never married","white","white","new england","male",46,0
"19",14,"lt high school","$15000 - 19999",NA,"neither agree nor disagree","strongly agree","agree",NA,"have done it in the past year",NA,NA,"several times a day","independent","used to belong","same city","married","white","white","new england","male",51,1
"20",8,"lt high school","$3000 to 3999","$20,000 to $40,000",NA,NA,"strongly agree",NA,"have not done it but might do it","never",NA,"never","not str democrat",NA,"different state","divorced","hispanic","other","new england","female",39,0
"21",14,"high school","$5000 to 5999","less than $5,000",NA,"agree",NA,"neither agree nor disagree",NA,"less than once wk","books other printed material",NA,"independent","belong and actively participate","different state","divorced","black or african american","black","new england","female",30,0
"22",12,"lt high school",NA,"$5,000 to $20,000",NA,"neither agree nor disagree",NA,"agree",NA,NA,NA,"never","ind,near rep","never belonged","different state","never married","white","white","middle atlantic","female",36,0
"23",11,"high school",NA,NA,"agree","agree","strongly disagree","neither agree nor disagree","have not done it and would never do  it",NA,"books other printed material",NA,"not str democrat","never belonged","different state","separated","white","white","middle atlantic","female",42,0
"24",14,"high school","$3000 to 3999",NA,NA,"disagree","neither agree nor disagree","strongly agree","have not done it but might do it",NA,NA,"several times a day","not str democrat","never belonged","same city","never married","american indian or alaska native","other","middle atlantic","male",38,0
"25",15,"high school","$10000 - 14999","less than $5,000",NA,NA,NA,"agree",NA,NA,NA,"5-6 days a week","strong democrat","belong and actively participate","different state","never married","white","white","middle atlantic","female",38,1
"26",18,"graduate",NA,"$5,000 to $20,000",NA,"disagree",NA,NA,NA,"few times a week","the internet","5-6 days a week","ind,near dem","used to belong","different state","never married","black or african american","black","middle atlantic","female",28,0
"27",13,"high school","$3000 to 3999","$100,000 to $150,000","strongly disagree",NA,NA,NA,"have not done it but might do it",NA,NA,"once a day","independent",NA,"same city","separated","white","white","middle atlantic","male",35,1
"28",16,"bachelor","$25000 or more",NA,"disagree","neither agree nor disagree","strongly disagree","strongly disagree","have not done it and would never do  it","everyday","family",NA,"not str republican",NA,"same city","married","white","white","middle atlantic","male",57,1
"29",15,"high school","$25000 or more",NA,"neither agree nor disagree","disagree",NA,"strongly agree",NA,"once a week","magazines","","ind,near dem","never belonged","same st,dif city","married","white","white","middle atlantic","male",50,0
"30",16,"bachelor","$25000 or more","$500,000 to $1 million",NA,"disagree","agree",NA,NA,"less than once wk","government agencies",NA,"ind,near dem","belong but dont participate","same city","divorced","white","white","middle atlantic","male",54,1
"31",17,"bachelor","$10000 - 14999",NA,"disagree","disagree","agree","disagree","have not done it and would never do  it","once a week","tv",NA,"independent","belong and actively participate","same city","married","white","white","middle atlantic","female",70,1
"32",16,"bachelor",NA,"$150,000 to $250,000","neither agree nor disagree","disagree","agree",NA,"have not done it but might do it","everyday",NA,"5-6 days a week","strong democrat",NA,"same st,dif city","divorced","white","white","middle atlantic","female",61,1
"33",16,"bachelor","$25000 or more","$250,000 to $500,000","disagree","agree","disagree",NA,"have not done it but might do it","less than once wk",NA,"once a day","independent","belong and actively participate","same city","never married","white","white","middle atlantic","female",54,1
"34",16,"bachelor","$25000 or more",NA,"strongly agree","agree",NA,"neither agree nor disagree","have not done it and would never do  it",NA,"friends colleagues","1-2 days a week","independent","never belonged","different state","married","white","white","middle atlantic","male",47,0
"35",12,"high school",NA,NA,"agree",NA,"strongly agree","agree","have not done it and would never do  it",NA,"tv","5-6 days a week","not str democrat","never belonged","different state","married","hispanic","other","middle atlantic","male",53,1
"36",12,"high school","$20000 - 24999","$250,000 to $500,000",NA,NA,"neither agree nor disagree",NA,"have not done it and would never do  it","never",NA,"never","independent","never belonged","same city","married","black or african american","black","middle atlantic","female",37,0
"37",11,"lt high school",NA,"$100,000 to $150,000",NA,NA,"agree","disagree","have not done it and would never do  it",NA,"books other printed material",NA,"independent",NA,"different state","never married","hispanic","other","middle atlantic","female",38,0
"38",14,"high school",NA,"$150,000 to $250,000","strongly agree","agree",NA,"neither agree nor disagree",NA,"never","newspapers",NA,"ind,near dem","never belonged","same city","divorced","white","white","middle atlantic","male",31,0
"39",10,"lt high school","$3000 to 3999","$4 million to $5 million",NA,NA,NA,NA,"","few times a week",NA,NA,"not str republican","never belonged","same st,dif city","widowed","white","white","middle atlantic","female",69,0
"40",16,"bachelor","$25000 or more",NA,"strongly disagree","strongly disagree",NA,NA,NA,NA,NA,NA,"not str democrat",NA,"same st,dif city","married","white","white","middle atlantic","male",35,1
"41",17,"bachelor","$20000 - 24999",NA,NA,NA,NA,NA,"have done it in the past year","less than once wk","radio","5-6 days a week","strong democrat","belong but dont participate","different state","married","white","white","middle atlantic","female",61,1
"42",14,"junior college","$15000 - 19999",NA,NA,NA,"strongly agree","strongly disagree",NA,"less than once wk","friends colleagues",NA,"strong republican",NA,"different state","married","white","white","middle atlantic","male",80,1
"43",11,"lt high school","$6000 to 6999","above $10 million",NA,"neither agree nor disagree","agree","strongly agree","have not done it and would never do  it","less than once wk","tv","once a day","independent","never belonged","same city","never married","white","white","middle atlantic","male",59,0
"44",14,"high school","$25000 or more",NA,"disagree","neither agree nor disagree",NA,"neither agree nor disagree",NA,NA,NA,"3-4 days a week","ind,near dem",NA,"same city","never married","white","white","middle atlantic","male",26,0
"45",16,"bachelor","$8000 to 9999",NA,"strongly disagree","disagree",NA,"strongly agree",NA,"never","books other printed material",NA,"strong republican","belong but dont participate","same st,dif city","separated","white","white","middle atlantic","female",50,0
"46",12,"high school","$4000 to 4999",NA,NA,NA,"agree",NA,"have done it in the past year",NA,"radio","once a day","strong democrat","belong and actively participate","same city","never married","black or african american","black","middle atlantic","female",43,1
"47",15,"junior college","$25000 or more","$40,000 to $75,000",NA,"neither agree nor disagree","agree",NA,NA,NA,"the internet","several times a day","not str republican",NA,"same city","never married","white","white","middle atlantic","male",30,1
"48",11,"high school","$20000 - 24999",NA,"neither agree nor disagree",NA,"strongly agree",NA,"have done it in the past year","less than once wk","radio","once a day","not str democrat","belong but dont participate","different state","married","white","white","middle atlantic","male",59,1
"49",18,"graduate",NA,"above $10 million","strongly agree","agree","neither agree nor disagree","disagree","have not done it but might do it","once a week","newspapers","several times a day","independent","belong and actively participate","same st,dif city","married","white","white","middle atlantic","female",52,1
"50",16,"bachelor","$20000 - 24999","$75,000 to $100,000",NA,NA,"disagree","disagree",NA,"never","radio","3-4 days a week","strong democrat","belong but dont participate","same city","married","white","white","middle atlantic","male",42,1
"51",14,"junior college","$25000 or more","$100,000 to $150,000","neither agree nor disagree","neither agree nor disagree","strongly agree",NA,"have not done it but might do it","few times a week","the internet",NA,"independent","never belonged","same st,dif city","married","hispanic","other","middle atlantic","male",29,1
"52",12,"high school",NA,NA,"strongly agree","strongly agree","strongly disagree",NA,"have not done it and would never do  it",NA,NA,"several times a day","independent","belong but dont participate","same city","widowed","white","white","middle atlantic","female",81,1
"53",17,"bachelor","$8000 to 9999","$100,000 to $150,000",NA,"disagree",NA,"agree",NA,NA,NA,"once a day","strong democrat","belong and actively participate","different state","never married","black or african american","black","middle atlantic","female",24,1
"54",15,"high school",NA,"$4 million to $5 million","strongly disagree","strongly disagree",NA,"strongly disagree","have not done it but might do it","few times a week","newspapers","once a day","not str republican",NA,"same st,dif city","widowed","white","white","middle atlantic","female",63,1
"55",18,"graduate",NA,"$100,000 to $150,000","agree","agree","agree",NA,"have not done it and would never do  it","never",NA,NA,"not str democrat","belong but dont participate","different state","never married","white","white","middle atlantic","female",44,1
"56",18,"bachelor","$4000 to 4999","$4 million to $5 million","strongly agree",NA,"strongly agree",NA,NA,"everyday",NA,"several times a day","strong republican","belong and actively participate","same city","never married","white","white","middle atlantic","female",56,1
"57",16,"bachelor","$20000 - 24999",NA,NA,NA,"agree","disagree","have done it in the more distant past","less than once wk","family","5-6 days a week","strong democrat","belong but dont participate","same city","married","hispanic","other","middle atlantic","female",43,1
"58",16,"graduate","$25000 or more",NA,"agree",NA,NA,"disagree","have not done it and would never do  it","never","family","5-6 days a week","independent",NA,"different state","never married","white","white","middle atlantic","male",51,0
"59",16,"bachelor","$20000 - 24999",NA,"agree",NA,NA,"disagree","have done it in the past year","never","magazines",NA,"ind,near dem",NA,"different state","never married","chinese","other","middle atlantic","female",32,1
"60",20,"graduate",NA,"$2 million to $3 million","agree",NA,"disagree","disagree","have done it in the more distant past",NA,"government agencies",NA,"not str democrat","used to belong","different state","married","chinese","other","middle atlantic","female",47,1
"61",16,"graduate","$20000 - 24999",NA,"agree",NA,"strongly disagree","agree",NA,"everyday","radio",NA,"ind,near dem",NA,"different state","never married","other asian","other","middle atlantic","female",47,1
"62",16,"graduate",NA,"$150,000 to $250,000","strongly agree","disagree",NA,NA,NA,NA,NA,NA,"strong democrat",NA,"same city","married","white","white","middle atlantic","male",69,1
"63",16,"bachelor","$10000 - 14999","$250,000 to $500,000",NA,NA,"strongly agree",NA,NA,"few times a week",NA,"5-6 days a week","not str republican","belong but dont participate","different state","married","white","white","middle atlantic","female",65,1
"64",18,"graduate",NA,"$40,000 to $75,000","agree","agree","agree","disagree",NA,"everyday","family",NA,"independent",NA,"same st,dif city","divorced","white","white","middle atlantic","male",45,1
"65",16,"bachelor","$6000 to 6999",NA,NA,NA,NA,"strongly agree","","less than once wk","the internet","less than 1 day a week","not str republican","belong but dont participate","same city","never married","white","white","middle atlantic","male",24,0
"66",12,"high school","$25000 or more",NA,"strongly disagree","strongly agree","strongly agree","disagree","have not done it but might do it","less than once wk","other",NA,"strong republican","belong and actively participate","same city","never married","white","white","middle atlantic","male",32,1
"67",14,"junior college",NA,NA,NA,"disagree","agree",NA,"have not done it and would never do  it",NA,"the internet","3-4 days a week","ind,near dem","never belonged","same st,dif city","divorced","white","white","middle atlantic","male",51,0
"68",20,"graduate",NA,"$100,000 to $150,000",NA,NA,NA,NA,"have done it in the more distant past",NA,"family",NA,"strong democrat",NA,"same st,dif city","married","white","white","middle atlantic","female",66,1
"69",16,"bachelor",NA,NA,NA,"disagree","strongly agree",NA,"have done it in the past year",NA,NA,NA,"ind,near dem",NA,"same st,dif city","married","white","white","middle atlantic","female",51,1
"70",16,"bachelor","$25000 or more","$150,000 to $250,000","strongly agree","strongly agree",NA,NA,"have done it in the past year","everyday","the internet",NA,"independent",NA,"same city","married","white","white","middle atlantic","male",27,1
"71",20,"graduate",NA,NA,"disagree",NA,NA,NA,"have done it in the past year",NA,"the internet",NA,"strong democrat","belong but dont participate","same st,dif city","married","white","white","middle atlantic","female",39,1
"72",18,"graduate","$15000 - 19999","above $10 million",NA,"neither agree nor disagree",NA,NA,"have not done it and would never do  it",NA,"magazines","several times a day","independent","used to belong","different state","married","chinese","other","middle atlantic","female",NA,1
"73",16,"bachelor",NA,NA,"agree","agree",NA,"disagree","have not done it and would never do  it",NA,"radio",NA,"not str democrat","belong but dont participate","different state","married","white","white","middle atlantic","male",54,1
"74",16,"bachelor",NA,"$500,000 to $1 million",NA,NA,NA,NA,"have done it in the more distant past","everyday","newspapers","1-2 days a week","strong democrat","belong but dont participate","same city","divorced","white","white","middle atlantic","female",58,1
"75",12,"high school","$25000 or more",NA,"disagree","disagree",NA,NA,"have not done it and would never do  it","less than once wk",NA,"less than 1 day a week","independent","never belonged","same city","married","hispanic","other","middle atlantic","male",43,0
"76",6,"lt high school","$4000 to 4999","$75,000 to $100,000",NA,NA,NA,NA,"have not done it and would never do  it","few times a week",NA,"never","ind,near dem","never belonged","same city","never married","hispanic","other","middle atlantic","female",55,0
"77",11,"lt high school",NA,"$100,000 to $150,000",NA,NA,"agree",NA,"have not done it and would never do  it","never",NA,"less than 1 day a week","independent","never belonged","same city","married","hispanic","other","middle atlantic","male",51,1
"78",10,"lt high school",NA,"$2 million to $3 million","strongly agree",NA,NA,"neither agree nor disagree","have done it in the past year","once a week","newspapers","3-4 days a week","independent","used to belong","same city","never married","native hawaiian","other","middle atlantic","female",40,0
"79",11,"high school","$15000 - 19999","$5,000 to $20,000","neither agree nor disagree","disagree",NA,"agree",NA,"less than once wk",NA,NA,"ind,near dem",NA,"same city","separated","black or african american","black","middle atlantic","female",35,0
"80",10,"lt high school","$3000 to 3999","$2 million to $3 million","agree","agree","strongly disagree",NA,NA,"never",NA,NA,"independent",NA,"same city","married","hispanic","other","middle atlantic","male",43,0
"81",10,"lt high school",NA,"$5,000 to $20,000",NA,"strongly agree",NA,NA,"have not done it and would never do  it","never","books other printed material","3-4 days a week","not str democrat","never belonged","same st,dif city","never married","black or african american","black","middle atlantic","female",51,1
"82",9,"lt high school","$5000 to 5999",NA,"agree","strongly disagree",NA,"agree","have not done it and would never do  it","few times a week",NA,NA,"strong democrat","never belonged","same city","never married","hispanic","other","middle atlantic","female",30,1
"83",10,"lt high school","$5000 to 5999",NA,"strongly agree","strongly agree","agree",NA,NA,NA,NA,NA,"not str democrat","belong but dont participate","same city","never married","black or african american","black","middle atlantic","male",56,1
"84",16,"bachelor","lt $1000","$20,000 to $40,000","disagree","agree","strongly agree","disagree","have not done it but might do it",NA,NA,NA,"not str democrat",NA,"different state","married","black or african american","black","middle atlantic","male",41,1
"85",12,"high school","$25000 or more","$500,000 to $1 million","strongly agree",NA,"disagree","strongly disagree","have not done it but might do it",NA,"government agencies","never","strong democrat","belong and actively participate","same city","never married","some other race","white","middle atlantic","male",25,1
"86",14,"junior college",NA,"$150,000 to $250,000",NA,NA,NA,NA,NA,"never","tv","never","independent","never belonged","same city","never married","black or african american","black","middle atlantic","female",48,0
"87",15,"junior college",NA,"$150,000 to $250,000","strongly disagree","strongly agree","strongly agree",NA,NA,NA,NA,NA,"not str republican","never belonged","same st,dif city","never married","white","white","middle atlantic","male",45,1
"88",12,"high school",NA,NA,"disagree","disagree","agree","disagree",NA,"few times a week","radio",NA,"independent","never belonged","different state","widowed","black or african american","black","middle atlantic","female",72,1
"89",16,"bachelor","$4000 to 4999","$20,000 to $40,000","neither agree nor disagree",NA,NA,"disagree","","few times a week","the internet","never","strong democrat","belong and actively participate","different state","married","black or african american","black","middle atlantic","female",27,0
"90",8,"lt high school",NA,NA,NA,"strongly agree",NA,"agree","have done it in the more distant past","never","radio",NA,"independent","never belonged","same city","never married","white","white","middle atlantic","female",24,0
"91",15,"high school","$20000 - 24999","$500,000 to $1 million","strongly agree","strongly disagree","strongly disagree","strongly agree",NA,NA,"newspapers",NA,"not str democrat","belong but dont participate","different state","divorced","some other race","other","middle atlantic","female",40,1
"92",14,"junior college",NA,NA,"agree","strongly agree",NA,NA,NA,NA,"tv","never","not str democrat","never belonged","same city","never married","black or african american","black","middle atlantic","female",23,0
"93",13,"high school","$25000 or more","$40,000 to $75,000","strongly disagree",NA,NA,NA,NA,NA,"books other printed material","once a day","not str democrat",NA,"different state","separated","hispanic","other","middle atlantic","female",28,1
"94",12,"high school","$10000 - 14999","$5,000 to $20,000","agree","disagree","strongly disagree",NA,NA,NA,NA,NA,"ind,near dem",NA,"different state","never married","black or african american","black","middle atlantic","female",37,0
"95",17,"graduate","$25000 or more",NA,NA,"disagree","neither agree nor disagree","disagree","have done it in the past year",NA,"newspapers",NA,"strong democrat","belong but dont participate","same city","divorced","black or african american","black","middle atlantic","female",33,1
"96",11,"lt high school",NA,NA,"disagree","agree",NA,"agree","have done it in the past year","everyday","newspapers","several times a day","strong democrat",NA,"same city","widowed","black or african american","black","middle atlantic","male",62,1
"97",13,"high school",NA,NA,NA,NA,"agree",NA,"have done it in the past year","once a week",NA,NA,"strong democrat","belong and actively participate","same city","never married","black or african american","black","middle atlantic","female",43,1
"98",18,"graduate",NA,"$100,000 to $150,000",NA,"disagree","agree","disagree","have done it in the past year","few times a week","the internet","several times a day","ind,near dem","belong but dont participate","different state","never married","white","white","middle atlantic","male",39,1
"99",12,"high school","$10000 - 14999","$2 million to $3 million",NA,"strongly agree","strongly agree",NA,NA,"everyday","newspapers",NA,"strong democrat","never belonged","different state","widowed","black or african american","black","middle atlantic","female",65,1
"100",16,"bachelor",NA,"$20,000 to $40,000","neither agree nor disagree",NA,"agree","disagree","have done it in the more distant past","few times a week","the internet","never","ind,near dem","belong and actively participate","same city","married","white","white","middle atlantic","female",32,0
"101",16,"bachelor","$10000 - 14999","$250,000 to $500,000","strongly agree",NA,NA,NA,NA,"everyday","government agencies","never","independent",NA,"same city","married","white","white","middle atlantic","male",41,1
"102",16,"bachelor","lt $1000","above $10 million","disagree","strongly disagree",NA,"strongly agree","","less than once wk","family","once a day","strong republican",NA,"different state","widowed","white","white","middle atlantic","male",81,1
"103",16,"bachelor",NA,NA,"neither agree nor disagree","disagree","neither agree nor disagree",NA,"","less than once wk","radio","3-4 days a week","not str democrat","used to belong","same city","divorced","white","white","middle atlantic","female",74,0
"104",20,"graduate","$25000 or more","$3 million to $4 million","disagree","agree","neither agree nor disagree",NA,"have not done it but might do it","never","newspapers","once a day","ind,near rep","used to belong","same st,dif city","married","white","white","middle atlantic","male",42,1
"105",16,"bachelor","$25000 or more","$500,000 to $1 million",NA,"strongly agree","agree","disagree",NA,"less than once wk","radio","once a day","not str republican","used to belong","same st,dif city","married","white","white","middle atlantic","male",45,1
"106",16,"bachelor",NA,NA,"strongly agree",NA,NA,"strongly agree",NA,"never","the internet",NA,"independent",NA,"same city","never married","black or african american","black","middle atlantic","male",23,0
"107",12,"high school",NA,"$5,000 to $20,000","neither agree nor disagree","agree","strongly disagree",NA,NA,"few times a week","books other printed material","less than 1 day a week","independent",NA,"same city","married","hispanic","other","middle atlantic","female",29,0
"108",12,"high school","lt $1000","$75,000 to $100,000","neither agree nor disagree",NA,"agree","disagree","have done it in the past year",NA,"the internet",NA,"ind,near dem",NA,"same city","never married","hispanic","other","middle atlantic","male",28,1
"109",16,"bachelor","$25000 or more",NA,NA,"disagree","agree",NA,"","everyday",NA,"several times a day","not str democrat","belong but dont participate","different state","married","white","white","middle atlantic","female",60,1
"110",18,"graduate",NA,"$100,000 to $150,000","agree",NA,"strongly agree","agree","",NA,NA,NA,"ind,near dem",NA,"different state","never married","white","white","middle atlantic","female",35,1
"111",16,"bachelor",NA,"$20,000 to $40,000",NA,"disagree","agree","disagree","have not done it but might do it","less than once wk","tv","5-6 days a week","strong democrat",NA,"same city","married","hispanic","other","middle atlantic","female",38,1
"112",16,"bachelor",NA,NA,NA,"strongly disagree",NA,"strongly disagree",NA,"everyday","newspapers","3-4 days a week","strong democrat","belong and actively participate","same city","never married","some other race","other","middle atlantic","male",30,1
"113",20,"graduate",NA,NA,"disagree",NA,"strongly agree","disagree",NA,"few times a week",NA,"1-2 days a week","not str democrat",NA,"same city","married","hispanic","other","middle atlantic","male",44,1
"114",16,"bachelor","$4000 to 4999",NA,"neither agree nor disagree",NA,NA,NA,NA,"less than once wk","radio","3-4 days a week","ind,near dem","used to belong","different state","never married","white","white","middle atlantic","female",58,0
"115",16,"bachelor","$25000 or more","$100,000 to $150,000","disagree","disagree","strongly agree",NA,NA,"never",NA,NA,"ind,near dem","belong but dont participate","different state","never married","white","white","middle atlantic","male",41,0
"116",18,"graduate",NA,"$1 million to $2 million",NA,"disagree",NA,NA,"have done it in the more distant past","everyday","newspapers","several times a day","not str democrat",NA,"same city","never married","white","white","middle atlantic","female",61,1
"117",16,"bachelor","$10000 - 14999",NA,"agree",NA,NA,NA,"have done it in the past year","once a week",NA,"5-6 days a week","strong democrat","belong but dont participate","different state","never married","white","white","middle atlantic","female",56,1
"118",16,"graduate","$7000 to 7999","above $10 million",NA,"strongly disagree","strongly agree",NA,"have done it in the past year","few times a week","newspapers",NA,"not str democrat",NA,"different state","widowed","white","white","middle atlantic","female",79,1
"119",14,"high school","$25000 or more",NA,"agree","disagree","agree",NA,NA,"everyday","the internet","once a day","not str democrat",NA,"same city","never married","white","white","middle atlantic","male",32,1
"120",19,"graduate","$25000 or more","above $10 million","strongly disagree","strongly disagree",NA,"disagree",NA,"few times a week",NA,"once a day","independent",NA,"same st,dif city","divorced","white","white","middle atlantic","female",68,1
"121",15,"high school","$6000 to 6999",NA,NA,NA,"neither agree nor disagree",NA,"",NA,"radio",NA,"ind,near rep","belong but dont participate","same st,dif city","widowed","white","white","middle atlantic","female",89,0
"122",16,"junior college","$4000 to 4999",NA,"neither agree nor disagree",NA,NA,NA,"have done it in the more distant past",NA,"the internet",NA,"strong democrat",NA,"same city","never married","black or african american","black","middle atlantic","female",29,1
"123",17,"graduate","$25000 or more","$2 million to $3 million","disagree","agree","strongly disagree","agree","","few times a week","family","never","strong democrat",NA,"different state","widowed","black or african american","black","middle atlantic","male",77,1
"124",13,"high school","$3000 to 3999",NA,"strongly disagree","strongly disagree","strongly disagree","strongly agree",NA,"everyday","family","never","strong democrat","belong but dont participate","same city","separated","black or african american","black","middle atlantic","male",47,1
"125",16,"bachelor","$20000 - 24999","$500,000 to $1 million",NA,NA,NA,"disagree","have done it in the more distant past","everyday",NA,NA,"ind,near dem","belong but dont participate","same city","married","black or african american","black","middle atlantic","male",53,1
"126",14,"high school","$10000 - 14999","$100,000 to $150,000",NA,NA,"strongly agree","disagree",NA,"never","radio","3-4 days a week","strong democrat",NA,"same city","divorced","black or african american","black","middle atlantic","female",54,1
"127",18,"graduate","$25000 or more",NA,NA,"disagree","strongly agree",NA,NA,"everyday",NA,NA,"strong democrat",NA,"same st,dif city","widowed","black or african american","black","middle atlantic","female",64,1
"128",16,"bachelor",NA,"$4 million to $5 million",NA,NA,"strongly agree","neither agree nor disagree","have not done it but might do it","less than once wk","radio","once a day","ind,near dem",NA,"same city","never married","white","white","middle atlantic","female",62,0
"129",20,"graduate","$8000 to 9999","above $10 million",NA,NA,"agree","disagree","have done it in the more distant past","few times a week","newspapers",NA,"not str democrat",NA,"same city","never married","white","white","middle atlantic","female",30,1
"130",20,"graduate",NA,NA,"disagree",NA,NA,"disagree","have not done it but might do it",NA,NA,"several times a day","strong republican",NA,"same st,dif city","married","white","white","middle atlantic","male",61,1
"131",16,"bachelor",NA,"$4 million to $5 million","agree",NA,NA,"disagree",NA,"everyday","newspapers","5-6 days a week","other party",NA,"same city","never married","white","white","middle atlantic","male",63,1
"132",20,"graduate","$25000 or more","$2 million to $3 million",NA,"disagree","agree","disagree",NA,"everyday",NA,"never","not str democrat","belong and actively participate","same st,dif city","married","white","white","middle atlantic","male",41,1
"133",16,"bachelor","$25000 or more","$150,000 to $250,000","neither agree nor disagree",NA,"neither agree nor disagree",NA,"have not done it and would never do  it","once a week","other","several times a day","independent","never belonged","different state","married","chinese","other","middle atlantic","female",57,1
"134",14,"high school",NA,"$40,000 to $75,000","neither agree nor disagree","strongly agree","neither agree nor disagree","agree","have done it in the more distant past","few times a week",NA,"never","not str republican",NA,"same city","never married","white","white","middle atlantic","female",50,1
"135",20,"graduate",NA,NA,NA,"strongly agree","agree",NA,"have done it in the past year","everyday","newspapers","several times a day","strong republican",NA,"same city","married","white","white","middle atlantic","male",40,1
"136",14,"high school","$25000 or more","$150,000 to $250,000","disagree",NA,"agree",NA,NA,"few times a week",NA,NA,"independent","never belonged","same city","never married","white","white","middle atlantic","male",21,1
"137",12,"high school",NA,"$150,000 to $250,000","neither agree nor disagree",NA,NA,NA,NA,"few times a week",NA,"1-2 days a week","ind,near dem",NA,"same st,dif city","married","white","white","middle atlantic","male",55,1
"138",15,"high school","$15000 - 19999",NA,"disagree","strongly agree",NA,"agree","","everyday",NA,NA,"strong republican","belong and actively participate","different state","widowed","white","white","middle atlantic","female",81,1
"139",17,"graduate","$20000 - 24999",NA,"agree",NA,"disagree","disagree","have not done it and would never do  it","never",NA,"never","not str democrat","belong but dont participate","same st,dif city","married","white","white","middle atlantic","female",38,1
"140",18,"graduate",NA,"$100,000 to $150,000",NA,"disagree",NA,NA,"have done it in the more distant past","few times a week",NA,"5-6 days a week","strong democrat","belong and actively participate","same st,dif city","married","white","white","middle atlantic","female",45,1
"141",16,"bachelor","$6000 to 6999",NA,"neither agree nor disagree","disagree","agree",NA,"have done it in the past year",NA,"the internet","5-6 days a week","ind,near dem",NA,"same city","never married","black or african american","black","middle atlantic","female",37,1
"142",16,"bachelor",NA,NA,NA,NA,"agree",NA,"have done it in the past year","everyday","newspapers",NA,"independent","belong but dont participate","same st,dif city","divorced","white","white","middle atlantic","female",74,1
"143",20,"bachelor","$25000 or more",NA,NA,NA,NA,"disagree","have not done it and would never do  it","everyday","radio",NA,"not str democrat","belong but dont participate","same city","never married","white","white","middle atlantic","female",84,1
